thermal_source_id,mgrs_tile,last_seen,sentinel_id,sensing_time,scene_date,cloud_cover,date_difference_days,status,file_path,file_size_kb,evidence_available,evidence_quality,satellite_image_path
8305,T43RCP,2026-07-04,S2B_MSIL2A_20260703T054639_N0512_R048_T43RCP_20260703T075529,2026-07-03 05:46:39.024,2026-07-03,11.86,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260703T054639_N0512_R048_T43RCP_20260703T075529.jpg,35.42,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260703T054639_N0512_R048_T43RCP_20260703T075529.jpg
8306,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8307,T43RCP,2026-06-18,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8308,T43RBP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,3.57,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg,37.3,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg
8309,T43RCP,2026-07-18,S2C_MSIL2A_20260718T054641_N0512_R048_T43RCP_20260718T085552,2026-07-18 05:46:41.025,2026-07-18,0.06,0.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260718T054641_N0512_R048_T43RCP_20260718T085552.jpg,35.86,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260718T054641_N0512_R048_T43RCP_20260718T085552.jpg
8310,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8311,T43RBP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,3.57,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg,37.3,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RBP_20260618T085419.jpg
8312,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8313,T43RCP,2026-06-17,S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419,2026-06-18 05:46:41.025,2026-06-18,7.8,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg,34.24,True,STRONG,data/raw/sentinel2/quicklooks\S2C_MSIL2A_20260618T054641_N0512_R048_T43RCP_20260618T085419.jpg
8314,T43RCP,2026-06-22,S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208,2026-06-23 05:46:39.024,2026-06-23,0.02,1.0,DOWNLOADED,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg,35.12,True,STRONG,data/raw/sentinel2/quicklooks\S2B_MSIL2A_20260623T054639_N0512_R048_T43RCP_20260623T075208.jpg
